2025-05-27T07:07:49.596637,SPY250527P00587000,short,-1,1.29,-129,,
2025-05-27T07:10:03.093568,IWM250527P00203000,long,2,0.255,51,,
2025-05-27T07:10:03.093592,IWM250527P00204000,long,8,0.29625,237,,
2025-05-27T07:10:03.093597,IWM250527P00205000,short,-10,0.703,-703,,
2025-05-27T07:10:03.093601,QQQ250527P00514000,long,3,1.046667,314,,
2025-05-27T07:10:03.093605,QQQ250527P00515000,long,2,0.915,183,,
2025-05-27T07:10:03.093608,QQQ250527P00516000,short,-3,1.332,-399.6,,
2025-05-27T07:10:03.093612,QQQ250527P00517000,long,1,0.88,88,,
2025-05-27T07:10:03.093616,QQQ250527P00518000,short,-3,1.303333,-391,,
2025-05-27T07:10:03.093619,SPY250527P00584000,long,6,0.881667,529,,
2025-05-27T07:10:03.093623,SPY250527P00585000,short,-1,1.212,-121.2,,
2025-05-27T07:10:03.093627,SPY250527P00586000,short,-3,1.178,-353.4,,
2025-05-27T07:10:03.093630,SPY250527P00587000,short,-2,1.27,-254,,
2025-05-27T07:12:16.776633,IWM250527P00203000,long,2,0.255,51,,
2025-05-27T07:12:16.776660,IWM250527P00204000,long,9,0.282222,254,,
2025-05-27T07:12:16.776664,IWM250527P00205000,short,-11,0.678182,-746,,
2025-05-27T07:12:16.776669,QQQ250527P00514000,long,3,1.046667,314,,
2025-05-27T07:12:16.776689,QQQ250527P00515000,long,2,0.915,183,,
2025-05-27T07:12:16.776693,QQQ250527P00516000,short,-3,1.332,-399.6,,
2025-05-27T07:12:16.776697,QQQ250527P00517000,long,2,0.815,163,,
2025-05-27T07:12:16.776700,QQQ250527P00518000,short,-4,1.245,-498,,
2025-05-27T07:12:16.776705,SPY250527P00584000,long,6,0.881667,529,,
2025-05-27T07:12:16.776708,SPY250527P00585000,short,-1,1.212,-121.2,,
2025-05-27T07:12:16.776711,SPY250527P00586000,short,-2,1.178,-235.6,,
2025-05-27T07:12:16.776715,SPY250527P00587000,short,-3,1.243333,-373,,
2025-05-27T07:14:30.912808,IWM250527P00203000,long,2,0.255,51,,
2025-05-27T07:14:30.912859,IWM250527P00204000,long,9,0.282222,254,,
2025-05-27T07:14:30.912865,IWM250527P00205000,short,-11,0.678182,-746,,
2025-05-27T07:14:30.912871,QQQ250527P00514000,long,3,1.046667,314,,
2025-05-27T07:14:30.912876,QQQ250527P00515000,long,2,0.915,183,,
2025-05-27T07:14:30.912880,QQQ250527P00516000,short,-3,1.332,-399.6,,
2025-05-27T07:14:30.912885,QQQ250527P00517000,long,3,0.79,237,,
2025-05-27T07:14:30.912889,QQQ250527P00518000,short,-5,1.21,-605,,
2025-05-27T07:14:30.912897,SPY250527P00584000,long,6,0.881667,529,,
2025-05-27T07:14:30.912901,SPY250527P00585000,short,-1,1.212,-121.2,,
