timestamp,symbol,side,qty,avg_entry_price,cost_basis,unrealized_pl,unrealized_plpc
2025-06-16T14:08:39.611985,QQQ250616P00535000,short,-198,0.981364,-19431,,
2025-06-16T14:08:39.611988,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:08:39.611990,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:08:39.611991,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:09:53.708367,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:09:53.708385,QQQ250616P00534000,long,172,0.550263,9464.5263,,
2025-06-16T14:09:53.708389,QQQ250616P00535000,short,-207,0.988261,-20457,,
2025-06-16T14:09:53.708397,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:09:53.708400,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:09:53.708402,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:11:07.902024,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:11:07.902035,QQQ250616P00534000,long,181,0.556217,10067.5263,,
2025-06-16T14:11:07.902037,QQQ250616P00535000,short,-216,0.996667,-21528,,
2025-06-16T14:11:07.902039,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:11:07.902041,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:11:07.902043,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:12:21.900146,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:12:21.900158,QQQ250616P00534000,long,189,0.559763,10579.5263,,
2025-06-16T14:12:21.900161,QQQ250616P00535000,short,-224,1.002857,-22464,,
2025-06-16T14:12:21.900163,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:12:21.900165,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:12:21.900166,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:13:36.068801,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:13:36.068816,QQQ250616P00534000,long,197,0.563428,11099.5263,,
2025-06-16T14:13:36.068819,QQQ250616P00535000,short,-232,1.008966,-23408,,
2025-06-16T14:13:36.068829,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:13:36.068831,SPY250616P00603000,long,4,0.60378,241.5122,,
